carpark_number,latitude,longitude,area
CK50,1.4004285839443895,103.74374642444484,Sungei Kadut
CK51,1.399644037223133,103.74759048649052,Sungei Kadut
CK52,1.400659030128735,103.7502363572965,Sungei Kadut
CK53,1.401554388498015,103.75018630981052,Sungei Kadut
CK54,1.398136840661223,103.74911670029476,Sungei Kadut
CK55,1.3971123380651005,103.74850899592592,Sungei Kadut
CK56,1.4011960465890263,103.7466707134054,Sungei Kadut
CK57,1.4022393536094335,103.74832374074006,Sungei Kadut
CK58,1.4018800104107794,103.74487907782552,Sungei Kadut
CK59,1.376811917400497,103.7420381346866,Choa Chu Kang
CK6,1.3807326977622554,103.75310558123016,Choa Chu Kang
CK6A,1.3810353919401923,103.75313692680965,Choa Chu Kang
CK60,1.4042944339787478,103.74587382647104,Sungei Kadut
CK61,1.404089419860993,103.7489175658634,Sungei Kadut
CK62,1.403839486324844,103.7498899432278,Sungei Kadut
CK63,1.4028635015212785,103.7508843161639,Sungei Kadut
CK64,1.3997628341389805,103.75130299874982,Sungei Kadut
CK65,1.3920194608918222,103.74403589785445,Choa Chu Kang
CK66,1.3940205880722112,103.74555905214416,Choa Chu Kang
CK7,1.3802822594561748,103.75196049935109,Choa Chu Kang
CK70,1.376933257277024,103.73814649010504,Choa Chu Kang
CK71,1.3766878029172829,103.73868084627472,Choa Chu Kang
CK72,1.37555881252417,103.74093049457282,Choa Chu Kang
CK73,1.3752829189296978,103.74341279299809,Choa Chu Kang
CK74,1.3732971913409149,103.74323849875032,Choa Chu Kang
CK75,1.3749824413018583,103.74453422557612,Choa Chu Kang
CK76,1.374040451680714,103.74620673798076,Choa Chu Kang
CK77,1.3765572316417811,103.7467136802488,Choa Chu Kang
CK78,1.3769877482261268,103.74939942553608,Choa Chu Kang
CK79,1.375123710117595,103.74971185297062,Choa Chu Kang
CK8,1.3820860793135756,103.74710566112644,Choa Chu Kang
CK8A,1.381218606739474,103.74897859928672,Choa Chu Kang
CK9,1.3814959737886174,103.74491781005548,Choa Chu Kang
CK9A,1.379988586192666,103.74750330141954,Choa Chu Kang
CLM,1.292483011992079,103.81440063004588,Tanglin
CLNA,1.3224147236725927,103.76305369893645,Clementi
CLRG,1.319049411792726,103.76398569521967,Clementi
CLTR,1.3193599995859169,103.7651328328662,Clementi
CM1,1.2744580741015816,103.83921657283985,City
CR1,1.3032708363009555,103.8633077225274,Kallang
CR1A,1.3036983570832268,103.86495851328462,Kallang
CR1B,1.3040360743039932,103.86535870755876,Kallang
CR2,1.304683540357895,103.86565822017168,Kallang
CR29,1.3057837826214542,103.85679325981934,Kallang
CR3,1.3050686537907754,103.86432479530625,Kallang
CR30,1.3076001787299971,103.85494102404714,Kallang
CR31,1.3062497454836393,103.854698193613,Kallang
CR4,1.3043520307210348,103.86343720866708,Kallang
CR5,1.3032359268391942,103.86223821600996,Kallang
CR7,1.3055339795624616,103.86233932875268,Kallang
CSM,1.2874380741610192,103.8411652063148,City
CTM1,1.314744665034576,103.76407292318407,Clementi
CVBK,1.316516432854943,103.86102759796267,Kallang
CV1,1.388329162827995,103.9881780032726,Changi
CV2,1.389902482766781,103.98798894765062,Pulau Ubin
CV3,1.3899831182202005,103.9864868577459,Pulau Ubin
CV4,1.3901710996794738,103.98845411052046,Pulau Ubin
CY,1.3006260281130555,103.85366487138282,City
C10,1.318463207322819,103.76896294521585,Clementi
C11,1.3148008328967469,103.76613081145894,Clementi
C12,1.32178984437935,103.76610607293507,Clementi
C13M,1.320563371411054,103.76617984015766,Clementi
C14M,1.3173923753204828,103.76518546060046,Clementi
C15M,1.3162541862213404,103.76404642824534,Clementi
C16,1.31431392669284,103.76248157167105,Clementi
C17,1.3138577294992604,103.76389656958308,Clementi
C18,1.3122716629093103,103.76337442086896,Clementi
C18A,1.3117560814715383,103.76418697824268,Clementi
C19M,1.3133630086406882,103.76385460751824,Clementi
C2M,1.3109282161791282,103.7678805968389,Clementi
C20M,1.3115042554415337,103.76565077719496,Clementi
C21L,1.3110149396716515,103.76704166044892,Clementi
C21M,1.3116611944348089,103.7665267320007,Clementi
C22M,1.3216503041788257,103.77033993399895,Clementi
C24,1.3241976206862776,103.77128667696373,Clementi
C25,1.322351236491755,103.76898892209616,Clementi
C26,1.322587761086612,103.76992906520272,Clementi
C27,1.3222422628168249,103.77051277091007,Clementi
C28,1.321157979566571,103.76333478601896,Clementi
C28M,1.3223617440785465,103.7620714506784,Clementi
C29,1.3126146115237984,103.75923178966606,Clementi
C29A,1.3113609355931228,103.75918489896868,Clementi
C3M,1.3098135876330488,103.77013103455867,Clementi
C3ML,1.3103927402801043,103.76909230827644,Clementi
C30,1.3114580973822938,103.76142107025233,Clementi
C31,1.3105631944603586,103.76059908247036,Clementi
C33,1.3045594379669765,103.76685761800196,Clementi
C34,1.307010315306396,103.76093627015332,Clementi
C35,1.3056123024137576,103.761439225623,Clementi
C36,1.305309674521169,103.76355742121356,Clementi
C37,1.3035383171263133,103.76397169772964,Clementi
C38,1.3028066678186725,103.76252679035964,Clementi
C39,1.31029120826452,103.76223990537255,Clementi
C4M,1.3114801086975776,103.7705025129515,Clementi
C40L,1.300790896428228,103.76388890814258,Clementi
C40M,1.2997090957482689,103.76391060340288,Clementi
C5,1.313102659052516,103.769573948647,Clementi
C6,1.314488113913117,103.7676911655017,Clementi
C7,1.314883872279801,103.77075500850212,Clementi
C8,1.3166746567863592,103.76863110345546,Clementi
C9,1.3176492492395018,103.77031234940884,Clementi
DRM1,1.2805131560457623,103.8115434919542,Bukit Merah
DRM2,1.281299375700636,103.80785308038944,Bukit Merah
DRM3,1.2808383769937857,103.80986791310714,Bukit Merah
DRM4,1.2808706520545865,103.81236594973764,Bukit Merah
DRM5,1.2813318825559306,103.80947738316917,Bukit Merah
DRS,1.2804697558033025,103.81299281989986,Bukit Merah
DSRL,1.2973346289648866,103.80514816792645,Tanglin
DSR1,1.2984559909642104,103.80353761899173,Tanglin
DSR2,1.2978947429610392,103.80533099300015,Tanglin
DUXM,1.2769773813172844,103.841054070432,City
DWSO,1.2964677180872102,103.806943259295,Tanglin
DWSP,1.2960658046069984,103.81197186986196,Tanglin
DWST,1.2951867450181442,103.81198973307625,Tanglin
DWSV,1.2953067953956656,103.80961685626244,Tanglin
DWVT,1.2942254278456524,103.81014450777538,Tanglin
ECM,1.3199976279022498,103.90162713608808,Geylang
ECML,1.3212490956270466,103.90153738603745,Geylang
ECM2,1.319815754557511,103.90064969675512,Geylang
EC2,1.3226157282563191,103.90444212518123,Bedok
EC3,1.3211567341184267,103.90447581531424,Bedok
EC4,1.320516456270698,103.90269244435348,Geylang
EC5,1.3220334887301846,103.90266515157026,Geylang
EC7,1.3177837032191553,103.90162574678276,Geylang
EC7T,1.3183920065513255,103.90119652827347,Geylang
EC8,1.3192268648217853,103.90320810512698,Geylang
EI3,1.318846467280764,103.89837967178774,Geylang
EPL,1.277163553465462,103.83991265403928,City
EPM,1.2761844360827463,103.83890822772874,City
FRM,1.3087586330482943,103.86136466220718,Kallang
FR2C,1.3182783907026911,103.80771256448294,Tanglin
FR2S,1.317920697225088,103.80718387313334,Tanglin
FR3M,1.316694831421104,103.80621058640855,Tanglin
FR4M,1.316875726618627,103.80753449141022,Tanglin
GBGM,1.342936854610798,103.87765540949302,Serangoon
GBM,1.3227723905559816,103.86863367566608,Kallang
GBML,1.3413197777404968,103.87865772538592,Serangoon
GBM1,1.341681864396883,103.8806036079848,Hougang
GBM2,1.340851179430714,103.87915020908382,Serangoon
GEM,1.320036813606306,103.8876026672818,Geylang
GEML,1.319937742298494,103.8878497929119,Geylang
GE1A,1.31988748882181,103.88343778425912,Geylang
GE1B,1.3212054428036522,103.88699247956012,Geylang
GE1C,1.319758789668941,103.8862991242808,Geylang
GE1E,1.319721481525843,103.88442796153228,Geylang
GE1F,1.3192099481045425,103.88423564310423,Geylang
GE1G,1.320962408767416,103.88630883704477,Geylang
GE2,1.3179454217838502,103.88483940328312,Geylang
GE3,1.3175009923126009,103.88736326896576,Geylang
GE5,1.3165497802675898,103.88756528216962,Geylang
GHCL,1.3472949366907625,103.88865124058908,Hougang
GHCM,1.3463249938268411,103.89004966217269,Hougang
GHOM,1.3485328144438922,103.88913913740488,Hougang
GMLM,1.3087283120092714,103.7858206208327,Bukit Timah
GM1A,1.3126136388646874,103.78692568583918,Bukit Timah
GM1B,1.3129217007451577,103.78825693218865,Bukit Timah
GM1M,1.3093544323655142,103.78436887624171,Bukit Timah
GM2,1.3116014028826577,103.78816007877914,Bukit Timah
GM2A,1.310871040730976,103.78726431710476,Bukit Timah
GM3,1.311155904646739,103.7888530789707,Bukit Timah
GM5,1.310381852974318,103.78851083553376,Bukit Timah
GM6A,1.309492533717275,103.7887228637617,Bukit Timah
GM6B,1.3096110710678992,103.78765231793,Bukit Timah
GSM,1.317206714246544,103.89834009661324,Geylang
GSML,1.317031227538219,103.89848850385351,Geylang
G20L,1.358875399364964,103.729389988222,Tengah
HCM,1.2890460476816068,103.8215599400175,Bukit Merah
HDBH,1.3322044726378666,103.84831918865608,Toa Payoh
HE1,1.289222142853235,103.82235539347374,Bukit Merah
HE12,1.2882100231321945,103.81865062406207,Bukit Merah
HE14,1.285714389597192,103.82225247982484,Bukit Merah
HE17,1.28642306098842,103.82038883426772,Bukit Merah
HE19,1.2905406191010664,103.82098507674438,Bukit Merah
HE22,1.2900207732738616,103.82284807112995,Bukit Merah
HE24,1.2846680932595866,103.82098533323034,Bukit Merah
HE3,1.2847190033879028,103.82171169354837,Bukit Merah
HE4,1.2834709130566546,103.8227828558411,Bukit Merah
HE9,1.2837073657315154,103.82119375671992,Bukit Merah
HG1,1.3621655371189594,103.89417972319173,Hougang
HG1A,1.3786638473853423,103.90178514726767,Sengkang
HG1B,1.375720842728826,103.90068924136004,Sengkang
HG1C,1.3778673667872103,103.90386188508498,Sengkang
HG1D,1.3637433814720363,103.89411326609486,Hougang
HG1E,1.3626513259842494,103.89471557255494,Hougang
HG1F,1.3581131891083953,103.8871054450445,Hougang
HG10,1.3545477132592356,103.89048363915774,Hougang
HG11,1.3659590849526215,103.89498042855224,Hougang
HG12,1.3666951274857737,103.89816102897976,Hougang
HG13,1.3678351863527216,103.89856384492994,Hougang
HG14,1.3691978333066008,103.89642766021036,Hougang
HG15,1.3589608383409413,103.8867121677647,Hougang
HG16,1.3597264508362623,103.88809151066688,Hougang
HG17,1.3576754848491717,103.88795773278927,Hougang
HG18,1.3580562825007565,103.88895037055627,Hougang
HG19,1.3528453827430016,103.88380228416152,Hougang
HG2,1.3629162816240896,103.89202551228584,Hougang
HG2A,1.3763723182473238,103.90072077615454,Sengkang
HG2B,1.375529907263565,103.88245583850758,Sengkang
HG2C,1.370107811706636,103.8972275612912,Hougang
HG2D,1.379407142485768,103.88718176076142,Sengkang
HG20,1.3502835072364745,103.8864274785372,Hougang
HG22,1.3524734570237993,103.88043241313824,Hougang
HG23,1.3575125780004995,103.89154633409036,Hougang
HG24,1.3597981073399827,103.89169169862797,Hougang
HG26,1.3694965867905131,103.89885301179292,Hougang
HG29,1.3723422711738544,103.89908052009024,Sengkang
HG3A,1.385422602428171,103.88078745980044,Sengkang
HG3B,1.3842997435333646,103.88162446141324,Sengkang
HG3C,1.3867765250799968,103.88200551694186,Sengkang
HG3D,1.3842111161564574,103.87967359393345,Sengkang
HG3E,1.385120688790768,103.88365807896534,Sengkang
HG3L,1.3862096500795642,103.88160329098604,Sengkang
HG30,1.3732591319490572,103.89696590280194,Sengkang
HG31,1.375415481994406,103.89650246570696,Sengkang
HG32,1.371379058329617,103.88606016836792,Hougang
HG33,1.3695677717165766,103.88437512420153,Hougang
HG34,1.36994247153842,103.88150314764592,Hougang
HG35,1.366489722596988,103.88896369112064,Hougang
HG36,1.3661185477855309,103.88760385900282,Hougang
HG37,1.3730086329161062,103.88737066764304,Sengkang
HG38,1.3733933668933251,103.89029465324634,Sengkang
HG39,1.369943399871844,103.88596778014345,Hougang
HG4,1.3642304254367996,103.8909833815686,Hougang
HG41,1.3712761200039465,103.87935014972332,Hougang
HG42,1.3741610365120855,103.8834179399384,Sengkang
HG43,1.3721131172452157,103.88430415056742,Hougang
HG44,1.3736487904344865,103.88632970593174,Sengkang
HG45,1.3759038270817985,103.88612996620292,Sengkang
HG46,1.3758578477105825,103.88696296949873,Sengkang
HG47,1.3711840890820386,103.89396218073183,Hougang
HG48,1.3754251700704976,103.89409369476046,Sengkang
HG49,1.378793343418818,103.89475931637892,Sengkang
HG5,1.3653553176828952,103.8923108470265,Hougang
HG50,1.377331836059522,103.89133366740658,Sengkang
HG51,1.378651048417412,103.89011314127175,Sengkang
HG52,1.3802826296010706,103.8897556014774,Sengkang
HG53,1.3708718261552026,103.89070311870574,Hougang
HG54,1.3566443539408752,103.8843547430974,Hougang
HG55,1.372683430169658,103.89321220378636,Sengkang
HG56,1.3712032514493229,103.89012226012038,Hougang
HG60,1.379004377957857,103.89119380269554,Sengkang
HG61,1.3796540278489158,103.88915444541854,Sengkang
HG62,1.3808269962216235,103.88855958799265,Sengkang
HG63,1.372357665071264,103.89736447686484,Sengkang
HG64,1.3743412526148546,103.88629764128476,Sengkang
HG67,1.3742926629562864,103.89581761240278,Sengkang
HG68,1.3699244511698212,103.89183951666378,Hougang
HG69,1.369980742386638,103.8929697698491,Hougang
HG7,1.353652999455382,103.8878029683342,Hougang
HG70,1.378973567137333,103.88850841192986,Sengkang
HG71,1.3777026962814996,103.88637393238048,Sengkang
HG72,1.3786242831960878,103.88591137264272,Sengkang
HG73,1.378304454625629,103.88355145011164,Sengkang
HG74,1.3508201907160555,103.88807050800872,Hougang
HG75,1.350591594227991,103.88899792755882,Hougang
HG76,1.3517580846379915,103.87947399435004,Hougang
HG77,1.3754541941864626,103.88424412307052,Sengkang
HG78,1.3767756461828915,103.88326593439776,Sengkang
HG79,1.3760480717091137,103.8804913425767,Sengkang
HG80,1.3741901308817628,103.87906751297731,Hougang
HG86,1.374661406137122,103.88052803909147,Sengkang
HG87,1.375920928263085,103.87786319567893,Sengkang
HG88,1.3760428223925316,103.88858974438185,Sengkang
HG89,1.3778423903615715,103.89402902276215,Sengkang
HG9,1.3589105329110454,103.88451989671084,Hougang
HG9T,1.3586483875723967,103.88523865940664,Hougang
HG90,1.37788142057996,103.87784351376916,Sengkang
HG91,1.3780174959451366,103.88022012092722,Sengkang
HG92,1.3622990615322448,103.89003179618784,Hougang
HG93,1.379978213203624,103.88011750262226,Sengkang
HG94,1.3815610022490386,103.8806477877379,Sengkang
HG95,1.353977867224383,103.890100184271,Hougang
HG96,1.35268125220462,103.88976906939072,Hougang
HG97,1.371222137875154,103.89475741107408,Sengkang
HG98,1.3799740663044326,103.87769855426492,Sengkang
HG99,1.3494346989855843,103.8890479251153,Hougang
HLM,1.2847577556273724,103.84549081920264,City
HRM,1.2875208652204615,103.8213559324756,Bukit Merah
HR1,1.311462635471375,103.89754544969936,Geylang
HR2,1.3126324573562955,103.89702870875624,Geylang
HR3,1.3139801309430983,103.89638765571064,Geylang
HR4,1.3146924061758305,103.8960013870619,Geylang
HR5,1.3130186460519382,103.89509932335724,Geylang
HVM,1.289869482205706,103.827718371206,Bukit Merah
H11,1.287438291030861,103.82784153679276,Bukit Merah
H12,1.291993773066109,103.82740904968784,City
H14,1.288511700181498,103.8324652115687,City
H15,1.2901865322941068,103.8309242113323,City
H17,1.2881678575922226,103.82785710514705,Bukit Merah
H18,1.2889897405337625,103.82697881537598,Bukit Merah
H3,1.2910086868911117,103.83251535744448,City
H3BL,1.3844716847717906,103.8822399963124,Sengkang
H3DL,1.3850735040392623,103.8801281920768,Sengkang
H4,1.2880938969321138,103.82937140536788,City
H42A,1.3726635071200932,103.88217829311414,Hougang
H6,1.2913696641320331,103.8289835868922,City
H6M,1.291225350773891,103.8279232232103,City
H8,1.2877269654910477,103.83092213801466,City
H87L,1.3784968024576387,103.87859616391972,Sengkang
H93L,1.3798003264431464,103.8807173007426,Sengkang
JBM,1.2792629708630583,103.82718857876978,Bukit Merah
JBM2,1.2802444113188307,103.82527962420488,Bukit Merah
JB1,1.302401825492277,103.88278658416117,Marine Parade
JB2,1.3016276066884178,103.88299671364967,Marine Parade
JB3,1.3005250402303838,103.88428841321044,Marine Parade
JB4,1.303483220735441,103.88316883050352,Marine Parade
JCM,1.3152529513564732,103.89885600323022,Geylang
JCML,1.315155076965312,103.8986345782356,Geylang
JKM,1.2872568479780304,103.83897315415284,City
JKS,1.2881646234590771,103.83964039101365,City
JMB1,1.281934892229842,103.82701754725274,Bukit Merah
JMB2,1.285135144278676,103.8267956000752,Bukit Merah
JMB3,1.282596291075267,103.8255985280808,Bukit Merah
JMS,1.2880511267041057,103.83880528241843,City
JM1,1.3450705393275209,103.72065037678222,Jurong West
JM10,1.3389486784923157,103.69728745900872,Jurong West
JM11,1.3417967899715009,103.70414895637823,Jurong West
JM12,1.3411209710444394,103.69843639350842,Jurong West
JM13,1.3394709470052732,103.69974492611485,Jurong West
JM14,1.342400674377116,103.69876959218948,Jurong West
JM15,1.3408888288394574,103.7000824336548,Jurong West
JM16,1.3372155636603211,103.70212302793456,Jurong West
JM17,1.3353138254513053,103.70408612809882,Jurong West
JM18,1.3429966284896695,103.69952925533684,Jurong West
JM19,1.3519736920625167,103.7028211437115,Jurong West
JM2,1.343935540315558,103.70496360394888,Jurong West
JM20,1.3353770862050385,103.7009564655495,Jurong West
JM21,1.337074566706122,103.69717792676786,Jurong West
JM22,1.344748541967573,103.70259174815769,Jurong West
JM23,1.3535626884336651,103.7037874056437,Jurong West
JM24,1.335287484303554,103.69805983031704,Jurong West
JM25,1.3443036800399348,103.70062818236626,Jurong West
JM26,1.345572547207185,103.70313374298328,Jurong West
JM27,1.3463047673601236,103.7045844632928,Jurong West
JM28,1.3353272224094526,103.69568781607848,Jurong West
JM29,1.3370050641486035,103.69450453965212,Jurong West
JM3,1.3445890471540445,103.70606683648678,Jurong West
JM30,1.350499126357452,103.70388481388832,Jurong West
JM31,1.3420131073387225,103.69758237259065,Jurong West
JM32,1.341599934271884,103.70808085404174,Jurong West
JM33,1.335680663653029,103.69244246777804,Jurong West
JM4,1.3444418938574294,103.70391272028826,Jurong West
JM5,1.339485124212113,103.70314264442617,Jurong West
JM6,1.339213857297851,103.70176502840717,Jurong West
JM7,1.34248592800673,103.70300645678526,Jurong West
JM8,1.3413442507193407,103.70150259793418,Jurong West
JM9,1.3386592120903442,103.6968178714569,Jurong West
JRM,1.3071670198992595,103.8618541749918,Kallang
JRTM,1.2893587269753048,103.81032768986412,Bukit Merah
JSA1,1.3484178517821193,103.72521288102048,Jurong West
JSR2,1.343279631629848,103.70492744066352,Jurong West
JS1L,1.341071366175815,103.70592229404798,Jurong West
JS3L,1.3416673654220843,103.6986098516734,Jurong West
JS33,1.3351492430210148,103.69366304199691,Jurong West
JS4L,1.3376994722441888,103.72161840392582,Jurong West
JS5L,1.3392242584705427,103.69699793968184,Jurong West
J1,1.3364297229134372,103.73809826514368,Jurong East
J10,1.3420166824734492,103.74009365443024,Jurong East
J11,1.3429196669451564,103.7399376555,Jurong East
J12,1.3433629252763908,103.7382609053107,Jurong East
J13,1.3435406873997215,103.73692014627473,Jurong East
J14,1.3440938400679234,103.73907981531524,Bukit Batok
J15,1.3440418112882973,103.74141793961732,Bukit Batok
J16,1.34440108183756,103.73564333470638,Jurong East
J17,1.3456690798460342,103.73547342856502,Jurong East
J18,1.3468907567288746,103.73484507216465,Bukit Batok
J19,1.347925792026096,103.73395663150102,Bukit Batok
J2,1.338607760000444,103.73677131352407,Jurong East
J20,1.3462038380151882,103.73247644634016,Jurong East
J21,1.3490641296056374,103.7298694479495,Jurong East
J21A,1.3474507182287452,103.73102302081588,Jurong East
J22,1.351320351997118,103.7301985030288,Bukit Batok
J23,1.3500283203099188,103.7320158983362,Bukit Batok
J23M,1.3490191908456162,103.7321332391786,Bukit Batok
J24,1.345732555812597,103.73106093441004,Jurong East
J25,1.344863968652103,103.73164563193434,Jurong East
J26,1.344921859758922,103.73059682433102,Jurong East
J27,1.3468873357936169,103.71666938291004,Jurong West
J28,1.3475766209296087,103.71649813216064,Jurong West
J29,1.3486261611752712,103.71691832636996,Jurong West
J3,1.3394948365194128,103.73548477933971,Jurong East
J30,1.3488140652464014,103.71550196112858,Jurong West
J32,1.3458066607061037,103.72047490460932,Jurong West
J33,1.3457744896852968,103.71787986661154,Jurong West
J34,1.3470676632759255,103.7200857457935,Jurong West
J35,1.3481171567409598,103.71951759408635,Jurong West
J36,1.3521719203242202,103.71545644450627,Jurong West
J37,1.3512959616988476,103.71580179588146,Jurong West
J38,1.349118093824854,103.71858546676606,Jurong West
J39,1.3501574988556255,103.72134748501912,Jurong West
J4,1.33753016931853,103.74190260101643,Jurong East
J40,1.350029732229152,103.72287839227994,Jurong West
J41,1.3482894562444392,103.72203231052173,Jurong West
J42,1.3482301426246237,103.72357456415996,Jurong West
J43,1.3479248544356488,103.72526852277466,Jurong West
J44,1.3468476106370095,103.72463649779957,Jurong West
J45,1.348985181357904,103.72678544658392,Jurong West
J46,1.3497541372772162,103.71905836585904,Jurong West
J47,1.3502574761113693,103.71802082662953,Jurong West
J48,1.3521727670439545,103.71847993384787,Jurong West
J49,1.3534557986298248,103.7189494838404,Jurong West
J49M,1.3537825819267806,103.71967598067592,Jurong West
J5,1.338314475125831,103.74241817422394,Jurong East
J50,1.3537072091984148,103.72252094049038,Tengah
J51,1.3535560740797064,103.72462951363345,Tengah
J52,1.3514607565360508,103.72472282907036,Jurong West
J53,1.3507409504176222,103.7267263759889,Jurong West
J54,1.349926571439503,103.72450994802102,Jurong West
J55,1.348637314625565,103.72429089393296,Jurong West
J56,1.3348926471145106,103.73931109135069,Jurong East
J57,1.333976117262724,103.73911988019644,Jurong East
J57L,1.334467592004372,103.7398580011142,Jurong East
J58,1.3342030833182397,103.73965601749369,Jurong East
J6,1.3390681000476938,103.73885142891002,Jurong East
J60L,1.3497546144769716,103.71787227953132,Jurong West
J60M,1.3493549092892696,103.71790104604096,Jurong West
J61,1.3400767800039053,103.68842490797104,Jurong West
J62,1.3408897822679104,103.6854076396136,Jalan Bahar
J62M,1.3398730274812365,103.68655537092322,Jalan Bahar
J63,1.341779262833754,103.68644278769764,Jalan Bahar
J64,1.3444733458300624,103.73185235993397,Jurong East
J65,1.3427704872682331,103.6892958327224,Jurong West
J66,1.3412980393930485,103.69112890870012,Jurong West
J67,1.3416439885155311,103.69276226807062,Jurong West
J68M,1.3420559299413903,103.69192247618516,Jurong West
J69,1.3396873972151606,103.69364065669544,Jurong West
J69M,1.3413441331084226,103.69334591602542,Jurong West
J7,1.3415438729036973,103.73803314961133,Jurong East
J70,1.3436870354700483,103.69350873447114,Jurong West
J71,1.3462276475605943,103.69417441757965,Jurong West
J72,1.3472672849626512,103.69773379422574,Jurong West
J73,1.3439953859260445,103.69822208525449,Jurong West
J74,1.3426645840692522,103.69611229344028,Jurong West
J74M,1.3428451201999936,103.69685387663026,Jurong West
J75M,1.3441944891692927,103.69311740148552,Jurong West
J76M,1.3443282799096905,103.69457112635632,Jurong West
J77M,1.3474454235068092,103.69856061913052,Jurong West
J78M,1.3415658549718328,103.69512328117312,Jurong West
J79M,1.3465010835318163,103.6949388062981,Jurong West
J8,1.340430194313869,103.74157403903612,Jurong East
J8M,1.34064697959678,103.74242652213022,Jurong East
J80M,1.3455473430034577,103.70096949302297,Jurong West
MM7,1.3254655031145524,103.88989442507676,Geylang
J81M,1.3495914590692857,103.7001773248677,Jurong West
J82M,1.3458500076506863,103.6924501001389,Jurong West
J83M,1.3502206530155672,103.69506444233096,Jurong West
J84M,1.3477246830725291,103.69647855749272,Jurong West
J85M,1.3499771895467607,103.69623487505112,Jurong West
J86M,1.3499622723359237,103.69909010573144,Jurong West
J88M,1.3416792676491924,103.70720618934254,Jurong West
J89M,1.3423753450796354,103.70590079148468,Jurong West
J9,1.342122435168998,103.74200092091957,Bukit Batok
J90,1.3415471370568717,103.74746010063689,Bukit Batok
J91,1.337537219917197,103.74410505198507,Jurong East
J92,1.3375577648770798,103.74685639183114,Jurong East
J93,1.339241045742681,103.74514016877296,Jurong East
J94,1.3396922643624274,103.7431661191949,Jurong East
J95,1.3401003005523258,103.7470868836082,Bukit Batok
J96,1.3415185653945183,103.7449583160269,Bukit Batok
J97,1.342401343926066,103.74594637866014,Bukit Batok
J98M,1.3397788016970993,103.69685697580177,Jurong West
J99M,1.3397333027042435,103.69604297580892,Jurong West
KAB,1.2817069215968375,103.84238785277827,City
KAM,1.281955140134137,103.84329939417108,City
KAML,1.2823301623409766,103.84325763782782,City
KAS,1.2805721095242588,103.84277292721772,City
KBM,1.320239287540183,103.86912462402007,Kallang
KBRM,1.3137176964812285,103.87431638611504,Geylang
KB1,1.323573603896078,103.86890029223365,Kallang
KB10,1.3189033039657925,103.86359255881776,Kallang
KB11,1.3205826810878327,103.86372199579309,Kallang
KB12,1.319106200176832,103.86158664703414,Kallang
KB14,1.3205577050364674,103.87006187688011,Kallang
KB17,1.317664120262257,103.86291017151454,Kallang
KB18,1.322703300743554,103.86573351416854,Kallang
KB20,1.3237494773420038,103.86644259415267,Kallang
KB3,1.3208280346346724,103.86965512421516,Kallang
KB4,1.3231299605395128,103.87068301702206,Kallang
KB7,1.3215857812299312,103.87047836388102,Kallang
KEM1,1.3089166922000135,103.85251426170888,Kallang
KE1,1.3297527796247852,103.90890609088385,Bedok
KE2,1.3325052469829437,103.91041427397192,Bedok
KE3,1.3339093228742855,103.9119595748316,Bedok
KE3M,1.334021141539843,103.91141006264913,Bedok
KE4,1.3336670998148838,103.9132461064393,Bedok
KJML,1.3122208822000432,103.85160643935168,Kallang
KJM1,1.3160936666077387,103.8487958988528,Kallang
KJM2,1.3116793444533814,103.85204721150214,Kallang
KJ1,1.3136338338943614,103.85204121653094,Kallang
KJ2,1.313250654520725,103.85067994596449,Kallang
KJ3,1.314426615866617,103.84993059473938,Kallang
KJ4,1.3165869079469978,103.8514701851811,Kallang
KLM,1.3062670008791772,103.85680081928446,Kallang
KM1,1.310112141012881,103.88394614159586,Geylang
KM2,1.3087708200412964,103.88773705617996,Geylang
KM3,1.3085177634477092,103.88292839743592,Geylang
KM4,1.308492552601754,103.8853628087812,Geylang
KM5,1.3099969542952568,103.8855490917614,Geylang
KM6,1.3094690289534354,103.88811485493744,Geylang
KM6L,1.310625019506658,103.88784797793085,Geylang
KM7,1.309928860574059,103.88659806265524,Geylang
KPRM,1.316824942191609,103.85997091449636,Kallang
KRM,1.3113925840335257,103.87334197089486,Kallang
KTM,1.283069382670322,103.82865102019989,Bukit Merah
KTM2,1.283446479605301,103.8274761660383,Bukit Merah
KTM3,1.2806394354926494,103.82864802888722,Bukit Merah
KTM4,1.281481446142536,103.82729731282092,Bukit Merah
KTM5,1.2825290974366874,103.82946139003268,Bukit Merah
KTM6,1.2818564521671478,103.82924344240874,Bukit Merah
KUM1,1.3272180640396525,103.89909184212524,Geylang
KUM2,1.3290378028072063,103.89874827477924,Geylang
KU1,1.3294953548745303,103.90308381076238,Geylang
KU2,1.3276735499716743,103.90434517614048,Bedok
KU3,1.3264214379334087,103.90245155876109,Geylang
KU4,1.3255547219734711,103.90005135904396,Geylang
KU9,1.3299081271871451,103.9010898046754,Geylang
K10,1.3094153647830171,103.8844164510018,Geylang
K19,1.3078622926222248,103.88930362341996,Marine Parade
K2,1.3087364754979458,103.8823513067258,Geylang
K2T,1.3075380133900372,103.88354363243664,Geylang
K21,1.3070655199100698,103.88860100484648,Marine Parade
K22,1.3075471341351168,103.8883770803251,Marine Parade
K3T,1.3075801866197925,103.88385694864924,Geylang
K52,1.3105949571081432,103.88450282359632,Geylang
K7,1.308894518872329,103.88601691043624,Geylang
K9,1.3105483981592954,103.88625495695833,Geylang
