carpark_number,latitude,longitude,area
A90,1.382000689215116,103.84124722457108,Ang Mo Kio
A94,1.3718598268833164,103.83831596140112,Ang Mo Kio
A95,1.367518628007778,103.84780380928048,Ang Mo Kio
A98,1.3691643105963722,103.83185420964756,Ang Mo Kio
A99,1.3769852572551458,103.8372138919684,Ang Mo Kio
BA1,1.333695408000663,103.87082697082693,Toa Payoh
BA10,1.3429396955710726,103.87286725808724,Serangoon
BA11,1.3366717479010497,103.87453227172983,Toa Payoh
BA12,1.340210007052488,103.87636751125338,Serangoon
BA15,1.338090580464438,103.87502053700096,Toa Payoh
BA2,1.3369045733012843,103.87325519193966,Toa Payoh
BA3,1.336271592542055,103.87132184474288,Toa Payoh
BA4,1.335259255627249,103.87294849581704,Toa Payoh
BA5,1.3343396542004196,103.8726349098329,Toa Payoh
BA6,1.3402534868866134,103.87218551400755,Toa Payoh
BA7,1.3418207211438435,103.8721366903117,Serangoon
BA8,1.341761741787754,103.87147202648788,Serangoon
BA9,1.3431283450586189,103.87591618487676,Serangoon
BBB,1.2965800277256154,103.85366320640031,City
BBM1,1.3464366536863857,103.74538227425025,Bukit Batok
BBM2,1.3508670707092796,103.74988224837854,Bukit Batok
BBM3,1.3445062832256525,103.75991777083932,Bukit Batok
BBM4,1.3455506982843115,103.76017896379147,Bukit Batok
BBM5,1.3432428850770304,103.75793361152392,Bukit Batok
BBM6,1.3428596521147609,103.75505234517983,Bukit Batok
BBM7,1.3473553282589283,103.74369552196,Bukit Batok
BBM8,1.349969284844801,103.74851052070362,Bukit Batok
BBM9,1.3658306352822938,103.75177182867142,Bukit Batok
BE10,1.3477410368330722,103.8532954079852,Toa Payoh
BE11,1.3497794554538258,103.85304135503776,Serangoon
BE12,1.3500135843193608,103.85096301847568,Bishan
BE13,1.3448855409177118,103.85152763920874,Toa Payoh
BE14,1.34705912300086,103.85543169019624,Toa Payoh
BE15,1.345162758491224,103.85483824803823,Toa Payoh
BE17,1.3630077482977778,103.84767846445094,Ang Mo Kio
BE18,1.3583510906519656,103.83108616866848,Bishan
BE19,1.3488553698228036,103.84820175969944,Bishan
BE20,1.34889150352476,103.84866481348304,Bishan
BE21,1.3486246747246529,103.84904051876208,Bishan
BE22,1.349436593646741,103.84965495311532,Bishan
BE23,1.3500959071206409,103.8497629135689,Bishan
BE24,1.3553323098292838,103.84748284110552,Bishan
BE25,1.3551543675245774,103.84830892492698,Bishan
BE26,1.35589523545262,103.84845669941872,Bishan
BE27,1.3566562135466202,103.84863114624696,Bishan
BE28,1.35792578374441,103.84805039220308,Bishan
BE29,1.3574527003474106,103.84590085114525,Bishan
BE3,1.36236382033242,103.83440656538824,Bishan
BE3R,1.3631857448141926,103.83547581122498,Ang Mo Kio
BE30,1.3574639721486683,103.84644532993362,Bishan
BE31,1.3588668638092545,103.84609524349491,Bishan
BE32,1.3591710155830503,103.84667247515073,Bishan
BE33,1.3601707004676906,103.84482006190818,Bishan
BE34,1.3609610362378035,103.8436216081292,Bishan
BE35,1.3614206825630568,103.84308446006824,Bishan
BE36,1.3574951697204816,103.84453538273506,Bishan
BE37,1.3580079412271258,103.84442083770382,Bishan
BE38,1.3588986300125845,103.84456648767798,Bishan
BE39,1.359196401814309,103.84197133762792,Bishan
BE4,1.3464955373934115,103.84837778261436,Bishan
BE40,1.357311177642308,103.8426401513628,Bishan
BE42,1.3555617806229023,103.84454814694604,Bishan
BE44,1.3578308220309556,103.8316301438792,Bishan
BE45,1.3563083436627226,103.843673799586,Bishan
BE46,1.3439019546557427,103.8567458751371,Toa Payoh
BE5,1.346177376327494,103.85096106346889,Bishan
BE6,1.3447482141025904,103.85188334257242,Toa Payoh
BE7,1.3450046991490203,103.85302289077154,Toa Payoh
BE8,1.3444363922391018,103.85531480784496,Toa Payoh
BE9,1.3471702615089869,103.85618277394822,Toa Payoh
BH1,1.3249913646328706,103.84245992582508,Novena
BH2,1.3260459729073215,103.84276130300172,Toa Payoh
BJAL,1.3879463629794184,103.76597168318806,Choa Chu Kang
BJBL,1.3839745646274244,103.76388026052356,Choa Chu Kang
