name,lat,lng,source
Forum The Shopping Mall,1.30609752164563,103.828678556041,OneMap
Four Seasons Hotel,1.3051747129975,103.828661123245,OneMap
Goodwood Park Hotel,1.30771173944605,103.834556167895,OneMap
Grand Hyatt Singapore,1.30637300291267,103.833257176622,OneMap
Grange Road Off-Street,1.29997909930352,103.825522814492,OneMap
Hilton Hotel,1.30206450556085,103.836340953476,OneMap
Holiday Inn Express Singapore,1.32005187342709,103.852519734445,OneMap
Holiday Inn Singapore Orchard City Centre,1.30227912634395,103.841101583104,OneMap
International Building,1.30607515954354,103.831003321455,OneMap
Liat Towers,1.30508722710852,103.830722581168,OneMap
Lucky Plaza,1.30450604646634,103.833962339817,OneMap
Mandarin Gallery,1.30200471731963,103.836583965806,OneMap
Meritus Mandarin Singapore,1.3020511,103.8360823,OSM
OG Orchard Point,1.30137135194991,103.840549639251,OneMap
Orchard Building,1.30139880165788,103.83735915836,OneMap
Orchard Parade Hotel,1.3065868,103.8282448,OSM
Orchard Plaza,1.30125729409965,103.841150144584,OneMap
Orchard Towers,1.30508722710852,103.830722581168,OneMap
orchardgateway,1.30048912114759,103.839325098352,OneMap
Pacific Plaza,1.30654704697701,103.832128174215,OneMap
Palais Renaissance,1.30665484543191,103.829588045188,OneMap
Pan Pacific Orchard,1.30739904535658,103.829895253334,OneMap
Penang Road Off-Street,1.2984518938474,103.846112389731,OneMap
Royal Plaza On Scotts,1.30700148159343,103.83235806558,OneMap
Scape,1.30101095339562,103.835724109292,OneMap
Shangri-la Hotel,1.311479,103.8264448,OSM
Shaw Centre,1.3061133465565,103.831970581812,OneMap
Shaw House,1.30580981580562,103.831507365654,OneMap
Sheraton Towers Singapore,1.31195053469522,103.836462149219,OneMap
Singapore Marriott Hotel,1.30502562565776,103.832957478209,OneMap
Singapore Shopping Centre,1.29815265394505,103.844111318107,OneMap
Starhub Centre,1.3028596,103.8401872,OSM
Tanglin Mall,1.30484344196915,103.823852794772,OneMap
Tangs,1.3047546,103.8330692,OSM
