CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
H0024,,HONG LIM PARK OFF STREET,1.2864010712092964 103.84732683484889,20,C,URA
H0057,,HINDOO ROAD-KAMPONG KA POR ROAD OFF STREET,1.307959413362438 103.85449803048786,10,C,URA
J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,34,C,URA
J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,26,Y,URA
J0054,,JALAN BESAR - BEATTY ROAD OFF STREET,1.3135186603571622 103.85919495839546,0,Y,URA
J0054,,JALAN BESAR - BEATTY ROAD OFF STREET,1.3135186603571622 103.85919495839546,0,C,URA
J0055,,JALAN SEH CHUAN OFF STREET,1.3416072968225916 103.77498352136544,140,C,URA
J0092,,JALAN KURAS OFF STREET,1.3733164289278814 103.82902743813321,1,C,URA
J0092,,JALAN KURAS OFF STREET,1.3733164289278814 103.82902743813321,5,Y,URA
J0100,,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,0,C,URA
J0100,,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,6,Y,URA
J0122,,JALAN KAYU OFF STREET,1.3988702481648212 103.87298020876878,96,C,URA
J0122,,JALAN KAYU OFF STREET,1.3988702481648212 103.87298020876878,11,Y,URA
K0037,,KING GEORGES AVENUE OFF STREET,1.3102875316446452 103.86155503310928,21,C,URA
K0039,,KING GEORGES AVENUE- HORNE ROAD OFF STREET,1.310011717603521 103.86195254067123,52,C,URA
K0082,,KAMPONG BUGIS OFF STRE ET,1.3060643999336945 103.86731520521826,15,C,URA
K0082,,KAMPONG BUGIS OFF STRE ET,1.3060643999336945 103.86731520521826,5,Y,URA
K0111,,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,10,Y,URA
K0111,,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,0,C,URA
K0121,,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,3,C,URA
K0121,,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,3,Y,URA
L0064,,LORONG 21 GEYLANG OFF STREET,1.3138418922590445 103.87984207773486,12,Y,URA
L0064,,LORONG 21 GEYLANG OFF STREET,1.3138418922590445 103.87984207773486,9,C,URA
L0078,,LORONG MYDIN OFF STREET,1.3191579615926596 103.91187813269345,3,Y,URA
L0078,,LORONG MYDIN OFF STREET,1.3191579615926596 103.91187813269345,1,C,URA
L0104,,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,12,Y,URA
L0104,,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,78,C,URA
L0107,,LORONG BACHOK OFF STREET,1.3137312534590921 103.879441454655,4,Y,URA
L0107,,LORONG BACHOK OFF STREET,1.3137312534590921 103.879441454655,0,C,URA
L0116,,LORONG 21 GEYLANG - GEYLANG ROAD OFF ST,1.31297192802134 103.88051592242522,0,C,URA
L0117,,LORONG 25-25A GEYLANG OFF STREET,1.3154114085899413 103.88282913196923,9,C,URA
L0117,,LORONG 25-25A GEYLANG OFF STREET,1.3154114085899413 103.88282913196923,0,Y,URA
L0123,,LORONG 9-11 GEYLANG OFF STREET,1.3132431536109048 103.87646592168618,4,Y,URA
L0123,,LORONG 9-11 GEYLANG OFF STREET,1.3132431536109048 103.87646592168618,43,C,URA
L0124,,LORONG 37 GEYLANG OFF STREET,1.315091678312372 103.88943334952766,11,Y,URA
L0124,,LORONG 37 GEYLANG OFF STREET,1.315091678312372 103.88943334952766,3,C,URA
L0125,,LORONG 31 GEYLANG OFF STREET,1.3150474541189618 103.88714181883965,16,Y,URA
L0125,,LORONG 31 GEYLANG OFF STREET,1.3150474541189618 103.88714181883965,29,C,URA
M0040,,MACKENZIE ROAD A OFF STREET,1.305166862591867 103.84955574725188,7,Y,URA
M0040,,MACKENZIE ROAD A OFF STREET,1.305166862591867 103.84955574725188,101,C,URA
M0059,,MACKENZIE ROAD B OFF STREET,1.3058536755285977 103.8475647241317,32,Y,URA
M0059,,MACKENZIE ROAD B OFF STREET,1.3058536755285977 103.8475647241317,22,C,URA
M0059,,MACKENZIE ROAD B OFF STREET,1.3058536755285977 103.8475647241317,1,H,URA
M0076,,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,10,Y,URA
M0076,,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,65,C,URA
M0078,,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,47,C,URA
M0078,,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,0,Y,URA
M0084,,MARINA VIEW OFF STREET,1.2746496875172093 103.84947277096812,1,C,URA
M0084,,MARINA VIEW OFF STREET,1.2746496875172093 103.84947277096812,16,Y,URA
M0088,,MARGARET DRIVE OFF STREET,1.3004199971190586 103.8030164003216,47,C,URA
N0006,,NEIL ROAD OFF STREET,1.2793383109971352 103.84191274173004,2,C,URA
N0012,,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,1,H,URA
N0012,,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,20,C,URA
N0012,,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,34,Y,URA
N0013,,NORTH BRIDGE ROAD OFF STREET,1.3004003577425163 103.85664662586295,41,C,URA
N0013,,NORTH BRIDGE ROAD OFF STREET,1.3004003577425163 103.85664662586295,20,Y,URA
P0013,,PRINCE EDWARD ROAD - SHENTON WAY OFF STREET,1.2751330286026736 103.84819161849495,64,Y,URA
P0013,,PRINCE EDWARD ROAD - SHENTON WAY OFF STREET,1.2751330286026736 103.84819161849495,4,C,URA
P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,0,Y,URA
P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,18,C,URA
P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,0,C,URA
P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,0,Y,URA
