CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
J55,,BLK 497-498 JURONG WEST STREET 41,1.3486373146611108 103.7242908939333,85,C,HDB
J56,,BLK 130 JURONG GATEWAY ROAD,1.3348926471771663 103.73931109135104,10,C,HDB
J57,,BLK 131/134 JURONG GATEWAY ROAD,1.3339761173271867 103.73911988019675,324,C,HDB
J61,,BLK 912/932 JURONG WEST STREET 92,1.340076780056331 103.68842490797138,248,C,HDB
J62,,BLK 902/908 JURONG WEST STREET 91,1.3408897823187327 103.68540763961391,524,C,HDB
J63,,BLK 909/911 JURONG WEST STREET 91,1.3417792628828218 103.68644278769797,23,C,HDB
J64,,BLK 354 JURONG EAST AVENUE 1,1.3444733458738212 103.73185235993431,238,C,HDB
J65,,BLK 933-953 JURONG WEST STREET 91,1.3427704873153463 103.68929583272273,487,C,HDB
J66,,BLK 959-961 JURONG WEST STREET 92,1.3412980394430656 103.69112890870043,56,C,HDB
J67,,BLK 962-966 JURONG WEST STREET 91,1.3416439885648666 103.69276226807096,38,C,HDB
J69,,BLK 974/980 JURONG WEST STREET 93,1.3396873972683547 103.69364065669579,66,C,HDB
J70,,BLK 835/838 JURONG WEST STREET 81,1.3436870355153538 103.69350873447148,5,C,HDB
J71,,BLK 812/826 JURONG WEST STREET 81,1.3462276476008896 103.69417441757999,0,C,HDB
J72,,BLK 743/751 JURONG WEST STREET 73,1.3472672850008967 103.69773379422607,0,C,HDB
J73,,BLK 719/731 JURONG WEST STREET 72,1.3439953859707423 103.6982220852548,158,C,HDB
J74,,BLK 711/718 JURONG WEST STREET 71,1.342664584116575 103.69611229344062,112,C,HDB
J8M,,BLK 240C JURONG EAST AVENUE 1,1.3406469796480864 103.74242652213057,102,C,HDB
J90,,BLK 274A TOH GUAN ROAD,1.3415471371064025 103.74746010063724,819,C,HDB
J91,,BLK 287E JURONG EAST STREET 21,1.337537219974637 103.74410505198543,342,C,HDB
J92,,BLK 285E TOH GUAN ROAD,1.3375577649344792 103.74685639183151,240,C,HDB
J93,,BLK 286E TOH GUAN ROAD,1.3392410457967605 103.7451401687733,259,C,HDB
J94,,BLK 288F JURONG EAST STREET 21,1.3396922644156168 103.74316611919524,245,C,HDB
J95,,BLK 282A TOH GUAN ROAD,1.3401003006047103 103.74708688360855,231,C,HDB
JB1,,"BLK 3-5,7,8,4A JALAN BATU",1.3024018254912244 103.88278658416151,4,C,HDB
JB1,,"BLK 3-5,7,8,4A JALAN BATU",1.3024018254912244 103.88278658416151,0,H,HDB
JB1,,"BLK 3-5,7,8,4A JALAN BATU",1.3024018254912244 103.88278658416151,65,Y,HDB
JB2,,BLK 10-11 JALAN BATU,1.3016276066873527 103.88299671365002,2,C,HDB
JB2,,BLK 10-11 JALAN BATU,1.3016276066873527 103.88299671365002,0,H,HDB
JB2,,BLK 10-11 JALAN BATU,1.3016276066873527 103.88299671365002,4,Y,HDB
JB3,,"BLK 6,12,14 KAMPONG ARANG ROAD",1.3005250402293007 103.8842884132108,0,C,HDB
JB3,,"BLK 6,12,14 KAMPONG ARANG ROAD",1.3005250402293007 103.8842884132108,0,H,HDB
JB3,,"BLK 6,12,14 KAMPONG ARANG ROAD",1.3005250402293007 103.8842884132108,3,Y,HDB
JB4,,"BLK 1,2,9 KAMPONG KAYU",1.303483220734406 103.88316883050386,61,C,HDB
JB4,,"BLK 1,2,9 KAMPONG KAYU",1.303483220734406 103.88316883050386,24,Y,HDB
JB4,,"BLK 1,2,9 KAMPONG KAYU",1.303483220734406 103.88316883050386,0,H,HDB
JBM,,BLK 134A JALAN BUKIT MERAH,1.2792629708616279 103.82718857877013,218,C,HDB
JCM,,BLK 2 JOO CHIAT ROAD,1.3152529513556304 103.89885600323055,170,C,HDB
JKM,,BLK 8A JALAN KUKOH MSCP,1.2872568479767303 103.8389731541532,0,H,HDB
JKM,,BLK 8A JALAN KUKOH MSCP,1.2872568479767303 103.8389731541532,6,Y,HDB
JKM,,BLK 8A JALAN KUKOH MSCP,1.2872568479767303 103.8389731541532,30,C,HDB
JKS,,BLK 1 JALAN KUKOH CAR PARK,1.2881646234577917 103.83964039101399,7,C,HDB
JKS,,BLK 1 JALAN KUKOH CAR PARK,1.2881646234577917 103.83964039101399,0,Y,HDB
JKS,,BLK 1 JALAN KUKOH CAR PARK,1.2881646234577917 103.83964039101399,0,H,HDB
JM1,,BLK 517B JURONG WEST STREET 52,1.3450705393701003 103.72065037678256,151,C,HDB
JM2,,BLK 682 JURONG WEST CENTRAL 1,1.343935540360375 103.70496360394921,276,C,HDB
JM3,,BLK 679 JURONG WEST CENTRAL 1,1.3445890471975723 103.70606683648714,347,C,HDB
JM4,,BLK 684 JURONG WEST STREET 64,1.3444418939012475 103.7039127202886,252,C,HDB
JM5,,BLK 664 JURONG WEST STREET 64,1.3394851242657075 103.7031426444265,856,C,HDB
JM7,,BLK 669 JURONG WEST STREET 64,1.342485928054406 103.7030064567856,738,C,HDB
JM9,,BLK 650 JURONG WEST STREET 61,1.3386592121455667 103.69681787145726,217,C,HDB
JRM,,BLK 814 JELLICOE ROAD,1.307167019898285 103.86185417499216,165,C,HDB
K10,,"BLK 28,30,32,34,36 CASSIA CRESCENT",1.3094153647820794 103.88441645100215,19,C,HDB
K19,,BLK 62 DAKOTA CRESCENT,1.307862292621261 103.88930362342029,28,C,HDB
K2T,,BLK 21 JALAN EMPAT,1.3075380133890682 103.883543632437,0,H,HDB
K2T,,BLK 21 JALAN EMPAT,1.3075380133890682 103.883543632437,4,Y,HDB
K2T,,BLK 21 JALAN EMPAT,1.3075380133890682 103.883543632437,52,C,HDB
K52,,BLK 52 CASSIA CRESCENT,1.3105949571072246 103.88450282359665,48,C,HDB
KAM,,BLK 335 KRETA AYER MSCP,1.2819551401327505 103.84329939417144,299,C,HDB
KAS,,BLK 333 KRETA AYER CAR PARK,1.2805721095228495 103.84277292721805,6,C,HDB
KB1,,BLK 61-62/68 GEYLANG BAHRU ROAD,1.323573603981063 103.86890029223399,58,C,HDB
KB3,,BLK 64/65/67 KALLANG BAHRU,1.320828034633921 103.86965512421553,58,C,HDB
KB4,,BLK 72/93/97 GEYLANG BAHRU,1.3231299606253726 103.8706830170224,236,C,HDB
KB7,,BLK 69 GEYLANG BAHRU,1.3215857813188372 103.87047836388138,44,C,HDB
KBM,,BLK 65A KALLANG BAHRU,1.3202392875394215 103.8691246240204,156,C,HDB
KE1,,BLK 101/121 BEDOK RESERVOIR ROAD,1.32975277969758 103.90890609088417,344,C,HDB
KE2,,BLK 122/126 BEDOK RESERVOIR ROAD,1.332505247050309 103.91041427397225,72,C,HDB
KE3,,"BLK 127/135, 141/151 BEDOK RESERVOIR ROAD",1.3339093229388816 103.91195957483195,505,C,HDB
KE4,,BLK 136/140 BEDOK RESERVOIR ROAD,1.3336670998799574 103.91324610643966,43,C,HDB
KJ1,,BLK 9/10 GLOUCESTER ROAD,1.3136338338934925 103.85204121653128,95,C,HDB
KJ2,,BLK 49/50 DORSET ROAD,1.31325065451985 103.85067994596483,51,C,HDB
KJ3,,BLK 48/48A DURHAM ROAD,1.314426615865761 103.84993059473973,168,C,HDB
KJ4,,BLK 51/54 KENT ROAD,1.316586907946177 103.85147018518143,87,C,HDB
KLM,,BLK 31 KELANTAN LANE MSCP,1.3062670008781876 103.8568008192848,273,C,HDB
KM1,,BLK 56A CASSIA CRESCENT,1.3101121410119543 103.88394614159621,279,C,HDB
KM2,,BLK 93A JALAN DUA,1.308770820040348 103.88773705618031,102,Y,HDB
KM2,,BLK 93A JALAN DUA,1.308770820040348 103.88773705618031,64,C,HDB
KM2,,BLK 93A JALAN DUA,1.308770820040348 103.88773705618031,0,H,HDB
KM3,,BLK 11A PINE CLOSE,1.3085177634467564 103.88292839743625,0,Y,HDB
KM3,,BLK 11A PINE CLOSE,1.3085177634467564 103.88292839743625,0,H,HDB
KM3,,BLK 11A PINE CLOSE,1.3085177634467564 103.88292839743625,278,C,HDB
KM5,,BLK 37 PINE LANE,1.3099969542943284 103.88554909176173,31,C,HDB
KM6,,BLK 91 JALAN SATU,1.3094690289524984 103.88811485493777,239,C,HDB
KM7,,BLK 88 JALAN SATU,1.3099288605731296 103.8865980626556,132,C,HDB
KRM,,BLK 115 JALAN AYER,1.31139258403262 103.8733419708952,84,C,HDB
KTM,,BLK 125A KIM TIAN ROAD,1.2830693826689532 103.82865102020023,0,H,HDB
KTM,,BLK 125A KIM TIAN ROAD,1.2830693826689532 103.82865102020023,30,Y,HDB
KTM,,BLK 125A KIM TIAN ROAD,1.2830693826689532 103.82865102020023,256,C,HDB
KU1,,BLK 301/305-306/311-318 UBI AVENUE 1,1.3294953549478328 103.90308381076274,213,C,HDB
KU2,,BLK 319-330 UBI AVENUE 1,1.3276735500485708 103.90434517614082,149,C,HDB
KU3,,BLK 331-341 UBI AVENUE 1,1.3264214380127748 103.90245155876141,109,C,HDB
KU4,,BLK 342-352 UBI AVENUE 1,1.325554722054547 103.90005135904431,183,C,HDB
KU9,,"BLK 302,304 UBI AVENUE 1",1.3299081272596338 103.90108980467573,0,C,HDB
LBM,,BLK 64 LENGKOK BAHRU,1.2893340477303485 103.81522033138351,23,Y,HDB
LBM,,BLK 64 LENGKOK BAHRU,1.2893340477303485 103.81522033138351,0,C,HDB
LBM,,BLK 64 LENGKOK BAHRU,1.2893340477303485 103.81522033138351,0,H,HDB
LT1,,"BLK 110,113-116 LENGKONG TIGA",1.3233181491639665 103.91150571719872,61,Y,HDB
LT1,,"BLK 110,113-116 LENGKONG TIGA",1.3233181491639665 103.91150571719872,0,H,HDB
LT1,,"BLK 110,113-116 LENGKONG TIGA",1.3233181491639665 103.91150571719872,152,C,HDB
LT2,,BLK 111-112 LENGKONG TIGA,1.323908174258417 103.91087369459767,13,Y,HDB
LT2,,BLK 111-112 LENGKONG TIGA,1.323908174258417 103.91087369459767,0,H,HDB
LT2,,BLK 111-112 LENGKONG TIGA,1.323908174258417 103.91087369459767,6,C,HDB
LT3,,BLK 101-109 LENGKONG TIGA,1.325035930591944 103.91049260744202,244,C,HDB
LT3,,BLK 101-109 LENGKONG TIGA,1.325035930591944 103.91049260744202,0,H,HDB
LT3,,BLK 101-109 LENGKONG TIGA,1.325035930591944 103.91049260744202,10,Y,HDB
M16,,BLK 37 CIRCUIT ROAD,1.328456138867702 103.88648711671387,43,C,HDB
M20,,BLK 65 & 80 CIRCUIT ROAD,1.3275904527297362 103.88726556178925,1,C,HDB
M25,,BLK 53 TO 56/68/70/71/72 PIPIT RD/CIRCUIT ROAD,1.3242254443938495 103.88817771100909,163,C,HDB
M32,,BLK 120 TO 124 PAYA LEBAR WAY,1.3223128713252343 103.88279296947924,352,C,HDB
M32,,BLK 120 TO 124 PAYA LEBAR WAY,1.3223128713252343 103.88279296947924,0,H,HDB
M32,,BLK 120 TO 124 PAYA LEBAR WAY,1.3223128713252343 103.88279296947924,57,Y,HDB
M33,,BLK 125 TO 126 ALJUNIED ROAD,1.323245792439789 103.88217267100778,50,C,HDB
M35,,BLK 41 TO 42 CIRCUIT ROAD,1.327281852338331 103.88591503597382,15,C,HDB
M36,,BLK 43 CIRCUIT ROAD,1.3265095624616778 103.8854007537911,1,C,HDB
M37,,BLK 38 TO 40 CIRCUIT ROAD,1.3276774088698604 103.88560507356983,0,C,HDB
M38,,BLK 63 TO 64 CIRCUIT ROAD,1.3271530487261551 103.88747666495254,0,C,HDB
MLM,,BLK 157A MEI LING STREET,1.2933650054088612 103.80345452106448,0,C,HDB
MLM,,BLK 157A MEI LING STREET,1.2933650054088612 103.80345452106448,107,Y,HDB
MLM,,BLK 157A MEI LING STREET,1.2933650054088612 103.80345452106448,0,H,HDB
MM1,,BLK 28A BALAM ROAD,1.3304551003620215 103.8870636250568,91,C,HDB
MM2,,BLK 52A PIPIT ROAD,1.3243396875895883 103.88609424966478,235,C,HDB
MM3,,BLK 66A CIRCUIT ROAD,1.3262662777938574 103.88801858425035,194,C,HDB
MM4,,BLK 31A CIRCUIT ROAD,1.3291690566562009 103.88550592779939,192,C,HDB
MM6,,BLK 82 CIRCUIT ROAD,1.3243040480599433 103.89009617246222,143,C,HDB
MM7,,BLK 76 CIRCUIT ROAD,1.325465503195805 103.88989442507712,365,C,HDB
MM8,,BLK 96 CIRCUIT ROAD,1.327642664037743 103.88850331722377,632,C,HDB
MN1,,BLKS 108/112 MCNAIR ROAD,1.322029473585525 103.85920022992414,97,C,HDB
MN2,,BLKS 119/124 MCNAIR ROAD,1.3180496887513389 103.85636842037394,89,C,HDB
MNM,,BLK 113 MCNAIR ROAD,1.3210421547949858 103.85983538215346,229,C,HDB
MP1,,BLK 1 TO 4 MARINE TERRACE,1.3048183599510008 103.91752217325198,31,Y,HDB
MP1,,BLK 1 TO 4 MARINE TERRACE,1.3048183599510008 103.91752217325198,0,H,HDB
MP1,,BLK 1 TO 4 MARINE TERRACE,1.3048183599510008 103.91752217325198,29,C,HDB
MP2,,BLK 5 TO 8 MARINE TERRACE,1.304224614387247 103.91665765027034,141,C,HDB
MP2,,BLK 5 TO 8 MARINE TERRACE,1.304224614387247 103.91665765027034,0,H,HDB
MP2,,BLK 5 TO 8 MARINE TERRACE,1.304224614387247 103.91665765027034,51,Y,HDB
MP5,,BLK 52/57 MARINE TERRACE,1.306109646889265 103.91616519665881,0,H,HDB
MP5,,BLK 52/57 MARINE TERRACE,1.306109646889265 103.91616519665881,64,Y,HDB
MP5,,BLK 52/57 MARINE TERRACE,1.306109646889265 103.91616519665881,1,C,HDB
MP6,,BLK 50/50A/53 MARINE TERRACE,1.3054965796239184 103.91638142426899,0,H,HDB
MP6,,BLK 50/50A/53 MARINE TERRACE,1.3054965796239184 103.91638142426899,0,Y,HDB
MP6,,BLK 50/50A/53 MARINE TERRACE,1.3054965796239184 103.91638142426899,0,C,HDB
MP7,,BLK 54/55/56/58/59 MARINE TERRACE,1.3055812783389689 103.91468879090618,80,C,HDB
MP7,,BLK 54/55/56/58/59 MARINE TERRACE,1.3055812783389689 103.91468879090618,0,H,HDB
MP7,,BLK 54/55/56/58/59 MARINE TERRACE,1.3055812783389689 103.91468879090618,16,Y,HDB
MR4,,BLK 7 KING GEORGE AVENUE,1.3079140431762029 103.85997310433214,3,C,HDB
MR5,,"BLK 804/805, 809 MAUDE ROAD",1.3081555032739849 103.86079175042127,3,C,HDB
NT1,,BLK 601 TAMPINES AVENUE 9,1.3611959653351222 103.93627591213486,215,C,HDB
NT2,,BLK 605 TAMPINES STREET 61,1.3620583764808158 103.9363845116676,302,C,HDB
NT3,,BLK 609 TAMPINES NORTH DRIVE 1,1.3640245552591146 103.93632491244533,136,C,HDB
NT4,,BLK 613 TAMPINES NORTH DRIVE 1,1.3654317476699882 103.93623652273303,243,C,HDB
NT5,,BLK 618 TAMPINES STREET 61,1.3616613990369992 103.93990146973215,532,C,HDB
NT6,,BLK 647 TAMPINES STREET 62,1.3673373187576705 103.94179198726512,164,C,HDB
NT7,,BLK 646 TAMPINES STREET 62,1.366004670622275 103.94298218411004,129,C,HDB
NT8,,BLK 634/ 629 TAMPINES NORTH DRIVE 2,1.3659712452622321 103.94019169258354,477,C,HDB
NT9,,BLK 641 TAMPINES STREET 62,1.3667088585780056 103.94416428611528,293,C,HDB
NTL,,BLK 601 - 605A/D TAMPINES AVENUE 9/ STREET 61,1.3625494166316845 103.9360887514939,5,C,HDB
P11,,BLK 416 PANDAN GARDENS,1.3212042144261287 103.74835585800447,35,C,HDB
P12,,BLK 415 PANDAN GARDENS,1.3205673948604608 103.74819409636542,89,C,HDB
P13,,BLK 401/402 PANDAN GARDENS,1.320690159767526 103.75040784611828,79,C,HDB
P14,,BLK 403/408 PANDAN GARDENS,1.3193536177876337 103.7491754010767,514,C,HDB
P15,,BLK 413 PANDAN GARDENS,1.319834822545268 103.74814817657092,48,C,HDB
P16,,BLK 412/414 PANDAN GARDENS,1.3198823805920543 103.7471648051374,12,C,HDB
P17,,BLK 409/411 PANDAN GARDENS,1.3188214674816108 103.74738396670394,58,C,HDB
P5L,,BLK 106A PUNGGOL FIELD,1.3974837242192124 103.90775041709209,6,C,HDB
P6L,,BLK 109B PUNGGOL FIELD,1.3955982537701515 103.91008575182231,0,C,HDB
PM2,,BLK 220A PASIR RIS STREET 21,1.3700730656129363 103.96101285046083,997,C,HDB
PM3,,BLK 225A PASIR RIS STREET 21,1.3718003498066136 103.96093300168216,176,C,HDB
PM4,,BLK 231A PASIR RIS DRIVE 4,1.374105919133183 103.96144271358463,803,C,HDB
PM5,,BLK 235A PASIR RIS STREET 21,1.373770353057379 103.96260801282301,124,C,HDB
PM6,,BLK 245A PASIR RIS STREET 21,1.370820028217031 103.96341243438137,164,C,HDB
PM7,,BLK 257A PASIR RIS STREET 21,1.367557638170227 103.96324992159087,103,C,HDB
PM8,,BLK 458A PASIR RIS DRIVE 4,1.3716359902048483 103.96025594204706,209,C,HDB
PM9,,BLK 216A PASIR RIS STREET 21,1.368291967055882 103.96121606162937,34,C,HDB
PP1,,BLK 101 TO 109 POTONG PASIR AVENUE 1,1.3340049021324865 103.86921395965491,256,C,HDB
PP2,,BLK 143 TO 145 POTONG PASIR AVENUE 2/3,1.332680144835905 103.86605451410969,71,C,HDB
PP3,,BLK 134 TO 142 POTONG PASIR AVENUE 3,1.3336019834633661 103.86584452814063,343,C,HDB
PP4,,BLK 121 TO 133 POTONG PASIR AVENUE 1,1.334732911900704 103.86611923734698,164,C,HDB
PP5,,BLK 113 TO 120 POTONG PASIR AVENUE 1,1.3363131015783904 103.86322285845007,345,C,HDB
PP6,,BLK 146 POTONG PASIR AVENUE 2,1.3322837360435846 103.86761465081435,37,C,HDB
PR1,,BLK 101/108 PASIR RIS STREET 12,1.3673318395583924 103.95799980233444,72,C,HDB
PR2,,BLK 109/129 PASIR RIS STREET 11,1.367274802546374 103.9554427895117,233,C,HDB
PR3,,BLK 531/536 PASIR RIS DRIVE 1/PASIR RIS CENTRAL,1.3710634228668805 103.95071563026318,187,C,HDB
PR4,,BLK 406/411 PASIR RIS DRIVE 6,1.372934646062806 103.95452048873427,441,C,HDB
PR6,,BLK 441/445 PASIR RIS DRIVE 6,1.3693790590151473 103.95759400506252,230,C,HDB
PR7,,BLK 446/455 PASIR RIS DRIVE 6,1.3710094121034937 103.95768508262739,38,C,HDB
PR8,,BLK 456/461 PASIR RIS DRIVE 4,1.3712678407860357 103.95957441760481,7,C,HDB
PRM,,BLK 33 PARK CRESCENT MSCP,1.2854503678192948 103.84227000806223,478,C,HDB
Q16,,BLK 45 AND 50 STIRLING ROAD,1.296933725724643 103.80371667974572,0,H,HDB
Q16,,BLK 45 AND 50 STIRLING ROAD,1.296933725724643 103.80371667974572,5,Y,HDB
Q16,,BLK 45 AND 50 STIRLING ROAD,1.296933725724643 103.80371667974572,16,C,HDB
Q17,,BLK 52 STIRLING ROAD,1.2962063464594955 103.80382460327948,0,H,HDB
Q17,,BLK 52 STIRLING ROAD,1.2962063464594955 103.80382460327948,15,Y,HDB
Q17,,BLK 52 STIRLING ROAD,1.2962063464594955 103.80382460327948,17,C,HDB
Q19,,BLK 151 MEI LING STREET,1.2947010066046325 103.80325801294282,3,Y,HDB
Q19,,BLK 151 MEI LING STREET,1.2947010066046325 103.80325801294282,0,H,HDB
Q19,,BLK 151 MEI LING STREET,1.2947010066046325 103.80325801294282,0,C,HDB
Q41,,BLK 80 STRATHMORE AVENUE,1.2943452393948074 103.8092235522875,19,C,HDB
Q65,,BLK 115A COMMONWEALTH DRIVE,1.3055238204553334 103.79875385421077,0,H,HDB
Q65,,BLK 115A COMMONWEALTH DRIVE,1.3055238204553334 103.79875385421077,22,Y,HDB
Q65,,BLK 115A COMMONWEALTH DRIVE,1.3055238204553334 103.79875385421077,31,C,HDB
Q66,,BLK 117 COMMONWEALTH DRIVE,1.3067047897212496 103.79949734726324,0,H,HDB
Q66,,BLK 117 COMMONWEALTH DRIVE,1.3067047897212496 103.79949734726324,30,Y,HDB
Q66,,BLK 117 COMMONWEALTH DRIVE,1.3067047897212496 103.79949734726324,58,C,HDB
Q67,,BLK 116-118 COMMONWEALTH CRESCENT,1.3071728123622566 103.80054334003212,0,C,HDB
Q67,,BLK 116-118 COMMONWEALTH CRESCENT,1.3071728123622566 103.80054334003212,35,Y,HDB
Q67,,BLK 116-118 COMMONWEALTH CRESCENT,1.3071728123622566 103.80054334003212,0,H,HDB
Q68,,BLK 110 COMMONWEALTH CRESCENT,1.306877426195116 103.7990046714733,0,H,HDB
Q68,,BLK 110 COMMONWEALTH CRESCENT,1.306877426195116 103.7990046714733,21,C,HDB
Q68,,BLK 110 COMMONWEALTH CRESCENT,1.306877426195116 103.7990046714733,5,Y,HDB
Q70,,BLK 99/102 COMMONWEALTH CRESCENT,1.3073460706105602 103.80054927179205,5,Y,HDB
Q70,,BLK 99/102 COMMONWEALTH CRESCENT,1.3073460706105602 103.80054927179205,0,H,HDB
Q70,,BLK 99/102 COMMONWEALTH CRESCENT,1.3073460706105602 103.80054927179205,8,C,HDB
Q73,,BLK 91/92 COMMONWEALTH DRIVE,1.306253308505829 103.80039166552687,8,C,HDB
Q73,,BLK 91/92 COMMONWEALTH DRIVE,1.306253308505829 103.80039166552687,12,Y,HDB
Q73,,BLK 91/92 COMMONWEALTH DRIVE,1.306253308505829 103.80039166552687,0,H,HDB
Q80,,BLK 45/46/47 HOLLAND DRIVE,1.3085364814082208 103.79270170688477,7,C,HDB
Q81,,BLK 43 HOLLAND DRIVE,1.3075367428669344 103.79316432035694,75,C,HDB
Q84,,BLK 2/4/6/31/32 HOLLAND CLOSE,1.3067809877773615 103.79667318529351,0,H,HDB
Q84,,BLK 2/4/6/31/32 HOLLAND CLOSE,1.3067809877773615 103.79667318529351,141,Y,HDB
Q84,,BLK 2/4/6/31/32 HOLLAND CLOSE,1.3067809877773615 103.79667318529351,107,C,HDB
Q85,,NORTH BUONA VISTA ROAD,1.3082345910436983 103.79204567038273,130,C,HDB
Q86,,BLK 148A MEI LING STREET,1.294563481688245 103.80387186857254,236,C,HDB
Q86,,BLK 148A MEI LING STREET,1.294563481688245 103.80387186857254,0,H,HDB
Q86,,BLK 148A MEI LING STREET,1.294563481688245 103.80387186857254,9,Y,HDB
Q87,,BLK 5A HOLLAND CLOSE,1.308878937102891 103.79623840948706,0,H,HDB
Q87,,BLK 5A HOLLAND CLOSE,1.308878937102891 103.79623840948706,44,Y,HDB
Q87,,BLK 5A HOLLAND CLOSE,1.308878937102891 103.79623840948706,214,C,HDB
Q88,,BLK 19A QUEENS CLOSE,1.2929905606564083 103.80055965992068,30,Y,HDB
Q88,,BLK 19A QUEENS CLOSE,1.2929905606564083 103.80055965992068,0,H,HDB
Q88,,BLK 19A QUEENS CLOSE,1.2929905606564083 103.80055965992068,92,C,HDB
Q89,,BLK 7B COMMONWEALTH AVENUE,1.3062461348722134 103.79504979530901,0,H,HDB
Q89,,BLK 7B COMMONWEALTH AVENUE,1.3062461348722134 103.79504979530901,44,Y,HDB
Q89,,BLK 7B COMMONWEALTH AVENUE,1.3062461348722134 103.79504979530901,138,C,HDB
Q94,,BLK 102 COMMONWEALTH CRESCENT,1.3076378079336004 103.80056110547329,12,Y,HDB
Q94,,BLK 102 COMMONWEALTH CRESCENT,1.3076378079336004 103.80056110547329,1,H,HDB
Q94,,BLK 102 COMMONWEALTH CRESCENT,1.3076378079336004 103.80056110547329,7,C,HDB
Q96,,BLK 181-184 STIRLING ROAD,1.2953471669277552 103.80440525007535,187,C,HDB
Q96,,BLK 181-184 STIRLING ROAD,1.2953471669277552 103.80440525007535,0,H,HDB
Q96,,BLK 181-184 STIRLING ROAD,1.2953471669277552 103.80440525007535,28,Y,HDB
RC1,,BLK 101/102 JALAN RAJAH,1.3285468099123723 103.85155370374852,49,C,HDB
RC2,,BLK 103/104 JALAN RAJAH,1.3276877468297255 103.8530706341711,80,C,HDB
RC3,,BLK 105/108 JALAN RAJAH,1.3282855437536054 103.85456412458883,21,C,HDB
RCM,,BLK 638 VEERASAMY ROAD,1.3072102800035477 103.85535244045687,58,C,HDB
RHM,,BLK 88A REDHILL CLOSE,1.2864639274816887 103.81857760519375,204,C,HDB
RHS,,BLK 75A/B REDHILL ROAD,1.2882886138242415 103.81561639580707,0,C,HDB
RHS,,BLK 75A/B REDHILL ROAD,1.2882886138242415 103.81561639580707,0,H,HDB
RHS,,BLK 75A/B REDHILL ROAD,1.2882886138242415 103.81561639580707,0,Y,HDB
SAM,,BLK 60A STRATHMORE AVENUE,1.292563548999674 103.81187745068675,236,C,HDB
SB1,,BLK 306B CANBERRA ROAD,1.4464802870133509 103.82205727914074,259,C,HDB
SB2,,BLK 316A SEMBAWANG VISTA,1.4464483347716537 103.82050273329828,226,C,HDB
SB3,,BLK 325A SEMBAWANG CRESCENT,1.4449556774589454 103.81877261852812,177,C,HDB
SB4,,BLK 313A SEMBAWANG DRIVE,1.4440797074479297 103.82127316472298,183,C,HDB
SB5,,BLK 322A SEMBAWANG CLOSE,1.446119844742004 103.81819700149308,217,C,HDB
SB6,,BLK 306A CANBERRA ROAD,1.4453412008890685 103.82255513390704,334,C,HDB
SB7,,BLK 336A SEMBAWANG CRESCENT,1.4466286838927618 103.81500660782501,295,C,HDB
SB8,,BLK 330A SEMBAWANG CLOSE,1.4471119774010361 103.81722634794149,167,C,HDB
SB9,,BLK 335A SEMBAWANG CLOSE,1.4476704341823874 103.81548836056409,392,C,HDB
SD1,,BLK 40-44 SIMS DRIVE,1.316572678029867 103.87708327324621,47,C,HDB
SD2,,BLK 45/50/51 SIMS DRIVE,1.316922459600893 103.87836486432725,10,C,HDB
SD3,,BLK 46/47/48/49 SIMS PLACE,1.3173299644576635 103.87924761702769,74,C,HDB
SD4,,BLK 52 SIMS PLACE,1.3165783475830048 103.88024180819585,15,C,HDB
SD5,,BLK 53 SIMS PLACE,1.3177689205149186 103.87991488367757,35,C,HDB
SD9,,BLK 114 LORONG 3 GEYLANG,1.3117614700205145 103.87349593503217,14,C,HDB
SDM,,BLK 114A LORONG 3 GEYLANG MSCP,1.312460211621572 103.8744514085964,171,C,HDB
SE9,,BLK 135/141 SERANGOON NORTH AVENUE 2,1.3684173420670702 103.874459863903,262,C,HDB
SG1,,BLK 1/3/8 SAINT GEORGE ROAD,1.3232280336254312 103.86100632168515,131,C,HDB
SG2,,BLK 14/19 SAINT GEORGE RD,1.3241162395939268 103.86221206094719,38,C,HDB
SG3,,BLK 20/23 SAINT GEORGE ROAD,1.3251470003075532 103.86217668603143,42,C,HDB
SG4,,BLK 9/11 SAINT GEORGE ROAD,1.3233078537241205 103.86310359429162,58,C,HDB
SH1,,BLK 301-313 SHUNFU ROAD,1.3507449262091222 103.83829758916404,225,C,HDB
SH2,,BLK 320 SHUNFU ROAD,1.351965262552707 103.83696880365737,164,C,HDB
SI1,,BLK 101/107 SIMEI STREET 1,1.3409141987033877 103.95113056157216,187,C,HDB
SI2,,BLK 108/119 SIMEI STREET 1,1.3436011805623875 103.95138334510507,375,C,HDB
SI4,,BLK 120/122 SIMEI STREET 1,1.3448462160508263 103.95246498893037,223,C,HDB
SI6,,BLK 132 SIMEI STREET 1,1.346901824613011 103.95562543072835,10,C,HDB
SI7,,BLK 132 - 139 SIMEI STREET 1,1.3474296843460967 103.95629220295612,177,C,HDB
SI8,,BLK 138 SIMEI STREET 1,1.3472093068323592 103.95712210094226,71,C,HDB
SI9,,BLK 141/147 SIMEI STREET 2,1.3457753475340262 103.95543946175468,49,C,HDB
SK1,,BLK 133A RIVERVALE STREET,1.388417259664144 103.90416746999104,287,C,HDB
SK2,,BLK 236A COMPASSVALE WALK,1.3902834067832184 103.90011414541775,238,C,HDB
SK3,,BLK 205D COMPASSVALE LANE,1.3860441807225143 103.89742587393229,380,C,HDB
