carpark_id,latitude,longitude
ACB,1.3010632720874966,103.85411804993062
ACM,1.3210042901059609,103.88506094761496
AH1,1.328283495109407,103.84461988914568
AK19,1.36909121614356,103.83498485034055
AK31,1.3661204243173295,103.84663563161574
AK52,1.3724386334422467,103.85029569742481
AK9,1.3835990576551445,103.8483680866534
AM14,1.3687410945550118,103.84030110265202
AM16,1.3703498012136124,103.83571828515677
AM18,1.3655400127862634,103.84461939021914
AM19,1.3688861979339544,103.83453102382205
AM20,1.3646977329371188,103.84608858611757
AM22,1.3645882914751264,103.84765302635225
AM32,1.3705325244610713,103.8343768155432
AM43,1.3686107186719942,103.85730354666741
AM46,1.3721783233234015,103.85339638441604
AM51,1.369915001718853,103.84669851649676
AM64,1.3714570202946914,103.85309824605719
AM79,1.3723282292064236,103.85132794564834
AM80,1.3706469901715583,103.84186149048261
AM81,1.3716392420558656,103.84194781252401
AM96,1.3640741492788215,103.85094037122862
AR1L,1.3038767185244577,103.78263177920336
AR1M,1.3028486840208244,103.7836667743232
AR2L,1.3059132344622109,103.78115465517361
AR2M,1.3047388928304149,103.78167448932463
AR5M,1.307343526593196,103.78446333008414
AR7L,1.305807720561871,103.7855911365702
AR7M,1.3047713772680545,103.78519200383877
AR9,1.3072843627095663,103.78343964059528
AV1,1.2855825549923126,103.80321526415888
A1,1.3667143987756958,103.84171281191207
A10,1.3686329816140796,103.8445240151766
A100,1.3779874731949442,103.842602544842
A101,1.3830389165845827,103.84173950080415
A102,1.368355983880076,103.83375737921092
A11,1.3670355338571134,103.8381810968511
A12,1.3685678874797558,103.83875932066391
A13,1.3680002216512899,103.83680961188561
A15,1.3669676105068467,103.84041745596973
A2,1.3662370557741221,103.84304639719952
A20,1.3649433806415425,103.84845709182149
A21,1.3681275586189163,103.8463132241709
A23,1.3673354664536144,103.8489133401168
A24,1.3647534118811007,103.84939765277373
A25,1.3627693074285172,103.85162748927652
A26,1.3727702022189985,103.83544756414679
A27,1.3703630515467693,103.8383206515405
A28,1.3716499282813763,103.83746428814854
A29,1.3672262594201823,103.84871559664501
A30,1.3709897466881407,103.84241897219825
A30A,1.3702188426869566,103.84275051934156
A31,1.3704511192782494,103.84369994453257
A31A,1.3718593403230517,103.84365816613547
A33,1.3700210113414353,103.83469194577
A34,1.368356473219034,103.85166737410135
A35,1.3686463926053345,103.85408147411323
A36,1.3664071280973518,103.85527878732958
A37,1.3681130684869152,103.85555655070138
A38,1.3639637058040284,103.85458838271062
A39,1.361151021658679,103.85407215463408
A4,1.365691620587143,103.84119216501767
A40,1.3623561505378592,103.8569820859847
A41,1.364936935305799,103.85693260004962
A42,1.3665801816289644,103.85736389239304
A43,1.3659967355493308,103.85926727197639
A44,1.367205743273234,103.8589905085286
A45,1.370917693067466,103.85523049600965
A47,1.3705581670513376,103.85924660891077
A48,1.370371281457812,103.85465226092984
A49,1.3713296059549298,103.85779708766381
A50,1.3725224642422473,103.85760956795286
A51,1.3694707392934409,103.83437534502293
A52,1.3703854326512568,103.84692254711774
A52L,1.369280633982194,103.84613433583942
A53,1.3708650227001158,103.84687730858236
A54,1.3724343595097768,103.8459153545853
A55,1.3731917741948454,103.84647485774163
A56,1.3726986757337116,103.84714621818317
A57,1.3720196104757487,103.84696416467047
A58,1.3723470075573316,103.84772411430865
A59,1.3738962214127315,103.85813978410101
A60,1.3744644954379837,103.85591341875042
A61,1.3741704461236193,103.8521600154717
A63,1.3752171305295215,103.84939908200639
A64,1.370534868701229,103.85346179745191
A65,1.371029158960116,103.85941720762452
A66,1.380544930908412,103.83566062297803
A67,1.3796863244461355,103.8378048893886
A68,1.3818976185660183,103.83985421482706
A69,1.3816414579421723,103.84194543574868
A7,1.3683924870216928,103.84130175438848
CCKC,1.3850753626994727,103.74574719528933
A70,1.38062064114195,103.84010720676336
A71,1.3800090936953147,103.84074189671752
A72,1.3807609626573387,103.84353033817357
A73,1.378848189137787,103.84082469669583
A74,1.378651680283736,103.84380466372642
A75,1.3762021780623381,103.83868455774677
A76,1.377977111891701,103.8388348049752
A77,1.376353149352738,103.83997857029854
A78,1.3746947111453929,103.83838679093324
A8,1.3687560709932358,103.84330771146671
A81,1.3743555525255606,103.83647879468057
A82,1.37567492239482,103.83639865272241
A85,1.3651073779477731,103.84970936855954
A87,1.36682635874641,103.8578842373726
A88,1.3662807156719192,103.84726652678953
A89,1.3704591830451702,103.83936784590809
